"seqnames"	"start"	"end"	"width"	"strand"	"Conc"	"Conc_H3K9.14ac"	"Conc_H3K9.14ac_wounding"	"Fold"	"p.value"	"FDR"
"13172"	"5"	20052025	20052425	401	"*"	8.30015427261129	7.55786331175909	8.78785739595894	-1.22999408419985	1.04217178710858e-07	5.77603671239792e-05
"14265"	"5"	26770209	26770609	401	"*"	5.16001745551296	0	6.16001745551296	-6.16001745551296	1.7857179553523e-07	9.5304428654173e-05
"11725"	"5"	4573984	4574384	401	"*"	6.38076204375506	5.04483627663274	7.06231224882187	-2.01747597218913	4.095691153936e-07	0.000210781819743635
"4249"	"2"	8531557	8531957	401	"*"	5.24051898327483	0.465690900981537	6.21392553646494	-5.7482346354834	4.40729634303062e-07	0.000218997035527832
"1797"	"1"	11965838	11966238	401	"*"	6.37757632492316	5.0033613562304	7.06842912771792	-2.06506777148753	7.83316436467963e-07	0.000376252994983445
"4250"	"2"	8532892	8533292	401	"*"	7.05663153064438	6.04580742778264	7.64518409390797	-1.59937666612533	9.10631583258421e-07	0.000418308056457924
"1556"	"1"	9847164	9847564	401	"*"	8.63985480162857	7.95960157795259	9.10027683947119	-1.1406752615186	9.28928369649796e-07	0.000418308056457924
"5865"	"2"	19411669	19412069	401	"*"	7.29449854768688	6.41438343229606	7.83717849454213	-1.42279506224607	9.80994961877299e-07	0.000428367800019754
"10195"	"4"	14271024	14271424	401	"*"	6.1990092044775	4.89808593666041	6.87178176839041	-1.97369583173001	2.50633268978563e-06	0.00106224276646503
"12523"	"5"	14604891	14605291	401	"*"	5.98360873995319	4.42788698510874	6.71465438761032	-2.28676740250158	2.75356396268814e-06	0.00113368162006675
"4614"	"2"	11227664	11228064	401	"*"	6.96111137520629	5.83859563964859	7.58470462866345	-1.74610898901486	5.16999727547492e-06	0.00204596706978176
"11961"	"5"	6128565	6128965	401	"*"	5.85205578989153	4.23203671417724	6.5959316237795	-2.36389490960226	5.25335056085531e-06	0.00204596706978176
"7894"	"3"	17975981	17976381	401	"*"	7.61290325715959	6.84592061081774	8.11100577967782	-1.26508516886008	5.56513875870955e-06	0.00207512276409312
"12174"	"5"	7478990	7479390	401	"*"	6.17459428177456	4.82816713903454	6.85872649176119	-2.03055935272666	5.72017188793981e-06	0.00207512276409312
"761"	"1"	4538247	4538647	401	"*"	6.57133164120278	5.56192103110137	7.15941742014211	-1.59749638904073	5.76022974071649e-06	0.00207512276409312
"5692"	"2"	18495548	18495948	401	"*"	6.90096032888832	5.79131562239457	7.52069434439814	-1.72937872200357	6.04640265389555e-06	0.00212508932299109
"10650"	"4"	16945192	16945592	401	"*"	6.95649718246298	6.05373458120304	7.50753418334378	-1.45379960214074	7.50862664606324e-06	0.00257411309854389
"9838"	"4"	11934937	11935337	401	"*"	6.462339273195	5.39935996041797	7.06769839373731	-1.66833843331935	7.68125352098455e-06	0.00257411309854389
"2352"	"1"	20527342	20527742	401	"*"	5.97456062474445	4.30239551008602	6.72835161791206	-2.42595610782604	7.90477126223689e-06	0.00258881258838258
"7249"	"3"	7664574	7664974	401	"*"	5.79407995146525	3.77868978673857	6.60362012731179	-2.82493034057322	8.2232375090112e-06	0.00263044827248411
"8029"	"3"	18941945	18942345	401	"*"	6.42908128880828	5.31765376156992	7.04935253849324	-1.73169877692331	8.39698962763839e-06	0.00263044827248411
"6665"	"3"	4083146	4083546	401	"*"	6.88733373895509	7.42533160700361	6.01969701598588	1.40563459101773	1.03634561336518e-05	0.00317739155076432
"1782"	"1"	11809383	11809783	401	"*"	6.20931369006811	5.02359074212088	6.85122571683211	-1.82763497471123	1.22819653299675e-05	0.00368714834176732
"10974"	"5"	157122	157522	401	"*"	7.43784098624987	6.71989437894412	7.91503943443203	-1.19514505548791	1.37574956631444e-05	0.00404582678583492
"11674"	"5"	4286792	4287192	401	"*"	6.39206982449355	5.31671534689448	7.001300513153	-1.68458516625852	1.41436796126322e-05	0.0040762084643606
"6664"	"3"	4079116	4079516	401	"*"	7.83912414198013	8.30438356818202	7.14814758636525	1.15623598181677	1.66494840918983e-05	0.00470429540714223
"14139"	"5"	26217613	26218013	401	"*"	6.46910244010384	5.44421456921438	7.06226639478196	-1.61805182556758	1.92849831124337e-05	0.00534416551250326
"12248"	"5"	8031382	8031782	401	"*"	7.2131805244798	6.4209015095916	7.72167894475111	-1.30077743515951	2.03590307734411e-05	0.00550738989842157
"1249"	"1"	7534381	7534781	401	"*"	6.20145965677992	5.08420709523015	6.82348021102928	-1.73927311579913	2.06383799108095e-05	0.00550738989842157
"7442"	"3"	9414007	9414407	401	"*"	6.90554625038803	7.45487859293847	6.00744290546968	1.44743568746879	2.16339264690605e-05	0.00566808873489386
"12802"	"5"	17213787	17214187	401	"*"	7.01550684524042	6.13142261654134	7.55966443606281	-1.42824181952148	2.42036328790643e-05	0.00622811338905924
"10685"	"4"	17147762	17148162	401	"*"	7.09189800372642	7.60547578478159	6.2870285606108	1.31844722417078	2.58461001727672e-05	0.00653407549981712
"12838"	"5"	17534361	17534761	401	"*"	5.91865043274077	4.26417224574804	6.66912606641928	-2.40495382067125	2.83522422382773e-05	0.00694440183941624
"7756"	"3"	16755843	16756243	401	"*"	6.42394851229662	5.42962414001728	7.00701416442584	-1.57739002440856	2.84330123890047e-05	0.00694440183941624
"889"	"1"	5182296	5182696	401	"*"	6.62213832885348	5.69648230428101	7.18144307694797	-1.48496077266696	4.3727489437789e-05	0.0105018853799757
"1021"	"1"	5956751	5957151	401	"*"	7.84807688736001	7.24596844197835	8.27161154434367	-1.02564310236532	4.5450508847674e-05	0.0106915730355233
"2842"	"1"	25007305	25007705	401	"*"	6.84743484366634	6.00510996654108	7.37576205894848	-1.3706520924074	4.60012163915647e-05	0.0106915730355233
"9291"	"4"	7750472	7750872	401	"*"	5.71529637536335	4.0474245617078	6.46828703206581	-2.42086247035801	5.49893391910114e-05	0.0124290598483249
"12620"	"5"	15859263	15859663	401	"*"	7.18841261282233	6.48239103936641	7.66037180535566	-1.17798076598926	5.52019313180288e-05	0.0124290598483249
"11723"	"5"	4572173	4572573	401	"*"	6.1153313584691	5.02424785258798	6.72942046040647	-1.70517260781849	6.24838327679611e-05	0.0138521850797895
"2847"	"1"	25042273	25042673	401	"*"	6.48330530331195	5.5180678311252	7.05649163129305	-1.53842380016784	7.53764723818758e-05	0.0164571964700429
"11299"	"5"	2010402	2010802	401	"*"	7.50593864275993	6.88627407932788	7.93801909471547	-1.05174501538759	8.11312890405626e-05	0.01744928171753
"9911"	"4"	12488395	12488795	401	"*"	6.57763723333828	5.68164154040736	7.12619598553222	-1.44455444512487	8.26975258069573e-05	0.0175245786305626
"760"	"1"	4536848	4537248	401	"*"	6.41217692874886	5.49033468181516	6.97011672534457	-1.47978204352941	8.9922481624103e-05	0.0187794631913525
"7975"	"3"	18510246	18510646	401	"*"	6.70503135099486	7.22732707878594	5.87818722904572	1.34913984974022	9.33799423977802e-05	0.0192229281421716
"3230"	"1"	27547688	27548088	401	"*"	8.3792920914998	7.86575731812822	8.75724426685452	-0.891486948726308	0.000126533725197163	0.0250942515133154
"7856"	"3"	17634925	17635325	401	"*"	6.67474576289521	5.88663548031562	7.18154862078357	-1.29491314046795	0.00012722756192707	0.0250942515133154
"12366"	"5"	9246247	9246647	401	"*"	6.06959629570674	4.8973687603325	6.70768340875432	-1.81031464842182	0.000127778626592446	0.0250942515133154
"1777"	"1"	11802454	11802854	401	"*"	6.52896737511129	5.62839484834486	7.0792040411263	-1.45080919278143	0.000128867079249503	0.0250942515133154
"9050"	"4"	4074053	4074453	401	"*"	7.83211473619847	7.24473553998557	8.24835906681583	-1.00362352683026	0.000140347795722262	0.0269654898181039
"10623"	"4"	16806254	16806654	401	"*"	7.49484208890951	7.99209003112592	6.72991128482842	1.2621787462975	0.000153711692997229	0.0291445460011851
"6115"	"3"	1035455	1035855	401	"*"	7.16937915129713	6.48298868630257	7.63257613537998	-1.14958744907741	0.000159486910055716	0.0298416232723567
"8255"	"3"	20257405	20257805	401	"*"	6.93875622013586	7.4331000519702	6.18076741349787	1.25233263847233	0.000161529952480487	0.0298416232723567
"5103"	"2"	15021201	15021601	401	"*"	6.57936898071322	5.73359558299121	7.10902758838504	-1.37543200539383	0.000171015998845176	0.0311941840931516
"13098"	"5"	19503806	19504206	401	"*"	7.74432694660453	7.16020139607213	8.15894578864119	-0.99874439256906	0.000183783355608514	0.0331039769289836
"1964"	"1"	17065409	17065809	401	"*"	6.55932519116201	7.07406804974454	5.75154596738585	1.32252208235869	0.00019859814292102	0.035330854808542
"11724"	"5"	4572659	4573059	401	"*"	6.14735529381908	5.17847065694727	6.72179506930593	-1.54332441235866	0.000217534969964123	0.0382277916729636
"3756"	"2"	164245	164645	401	"*"	6.28373987450711	5.33341527567973	6.85175639864339	-1.51834112296366	0.000236490081934369	0.0410580973575211
"7253"	"3"	7676056	7676456	401	"*"	6.42971859983342	5.43173073419384	7.01400976498766	-1.58227903079382	0.000240771720150627	0.0413038153258398
"8804"	"4"	309970	310370	401	"*"	6.92074542119987	7.41661418914963	6.15911730884482	1.25749688030481	0.000251863095435268	0.0426982024143789
"5985"	"3"	327891	328291	401	"*"	7.49866629184482	6.77976032300353	7.97628353394359	-1.19652321094006	0.000258448642007145	0.0433051736200344
"11671"	"5"	4272143	4272543	401	"*"	7.79849030594197	7.10159112923123	8.26639922192799	-1.16480809269676	0.000275978917575911	0.0457109908306768
"12346"	"5"	8987127	8987527	401	"*"	7.07304663576006	7.55370880913327	6.34713775155264	1.20657105758063	0.000281294285392326	0.0460619392329934
